id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal
700000,台湾,2022-06-13 09:26:00,50567,,0,163,,50404,2892263,0,13742,4171,0,0,,,
810000,香港,2022-06-13 09:26:01,141,,51,0,,90,333528,0,62861,9390,0,0,,,
420000,湖北,2022-06-13 10:40:05,0,,1,0,,-1,68399,0,63887,4512,0,0,,,
310000,上海,2022-06-13 08:15:54,13,,34,0,,-21,63109,0,62317,595,0,0,,,
220000,吉林,2022-06-13 09:49:01,0,,1,0,,-1,40293,0,40164,5,0,0,,,
440000,广东,2022-06-13 09:08:59,3,,3,0,,0,7335,0,7294,8,0,0,,,
110000,北京,2022-06-13 08:33:55,29,,17,0,,12,3549,0,3359,9,0,0,2955.0,0.0,2774.0
350000,福建,2022-06-13 10:20:04,3,,12,0,,-9,3330,0,3277,1,0,0,,,
610000,陕西,2022-06-13 09:51:00,5,,0,0,,5,3289,0,3280,3,0,0,,,
410000,河南,2022-06-13 08:45:00,0,,2,0,,-2,3183,0,3159,22,0,0,,,
330000,浙江,2022-06-13 10:06:00,3,,0,0,,3,3142,0,3129,1,0,0,,,
230000,黑龙江,2022-06-13 08:33:54,1,,0,0,,1,2986,0,2971,13,0,0,,,
370000,山东,2022-06-13 07:19:52,0,,0,0,,0,2738,0,2728,7,0,0,,,
510000,四川,2022-06-13 09:08:58,1,,4,0,,-3,2357,0,2321,3,0,0,,,
320000,江苏,2022-06-13 00:00:26,0,,0,0,,0,2235,0,2235,0,0,0,,,
530000,云南,2022-06-13 07:20:53,0,,2,0,,-2,2157,0,2143,2,0,0,,,
150000,内蒙古,2022-06-13 09:26:01,27,,0,0,,27,2025,0,1752,1,0,0,,,
130000,河北,2022-06-13 00:00:26,0,,0,0,,0,2005,0,1998,7,0,0,,,
120000,天津,2022-06-13 10:33:02,2,,0,0,,2,1981,0,1839,3,0,0,,,
210000,辽宁,2022-06-13 08:38:57,0,,1,0,,-1,1704,0,1673,2,0,0,,,
450000,广西,2022-06-13 08:54:57,0,,1,0,,-1,1649,0,1638,2,0,0,,,
430000,湖南,2022-06-13 07:19:52,0,,0,0,,0,1394,0,1389,4,0,0,,,
360000,江西,2022-06-13 00:00:26,0,,0,0,,0,1383,0,1382,1,0,0,,,
340000,安徽,2022-06-13 00:00:26,0,,0,0,,0,1065,0,1059,6,0,0,,,
650000,新疆,2022-06-13 00:00:26,0,,0,0,,0,1008,0,1005,3,0,0,,,
500000,重庆,2022-06-13 08:33:55,2,,0,0,,2,717,0,705,6,0,0,,,
620000,甘肃,2022-06-13 00:00:27,0,,0,0,,0,681,0,679,2,0,0,,,
140000,山西,2022-06-13 00:00:27,0,,0,0,,0,423,0,421,0,0,0,,,
460000,海南,2022-06-13 00:00:26,0,,0,0,,0,288,0,282,6,0,0,,,
520000,贵州,2022-06-13 00:00:27,0,,0,0,,0,185,0,183,2,0,0,,,
630000,青海,2022-06-13 00:00:26,0,,0,0,,0,147,0,147,0,0,0,,,
640000,宁夏,2022-06-13 00:00:26,0,,0,0,,0,122,0,122,0,0,0,,,
820000,澳门,2022-06-13 00:00:26,0,,0,0,,0,83,0,83,0,0,0,,,
540000,西藏,2022-06-13 00:00:25,0,,0,0,,0,1,0,1,0,0,0,,,
