id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
9577772,Tunisia,2022/6/13 0:01,0,,0,0,,,,1043540,0,0,28648,0,0
9507896,Ethiopia,2022/6/13 10:26,165,,290,2,,,,2020338,0,1999903,16101,0,0
0,China,2022/6/13 9:49,50797,,117,163,,50517,20,3450756,0,295456,18787,0,18895
1,Japan,2022/1/19 0:00,26881,,8445,2,,,,1879839,0,1735909,18433,0,0
2,Thailand,2022/6/13 10:41,2474,,4236,20,,,,4484863,0,4432199,30337,0,0
3,Singapore,2022/6/13 10:26,2503,,3349,0,,,,1341256,0,1260635,1397,0,0
4,Korea,2022/6/13 10:26,7382,,23928,20,,,,18225460,0,17993572,24371,0,0
5,Australia,2022/6/13 10:26,20865,,17550,23,,,,7615399,0,7388112,9047,0,0
6,Germany,2022/6/13 10:26,359,,12100,3,,,,26847783,0,25882900,140183,0,0
7,United States,2022/6/13 10:26,16284,,74337,19,,,,87321703,0,83159792,1035847,0,0
8,Malaysia,2022/6/13 10:26,1571,,1887,1,,,,4526298,0,4468191,35712,0,0
9,Vietnam,2022/6/13 10:26,568,,5274,0,,,,10731812,0,9553193,43083,0,0
10,Canada,2022/6/13 10:26,659,,695,2,,,,3897450,0,3545851,41519,0,0
11,India,2022/6/13 12:31,9987,,4592,10,,,,43232004,0,42657335,524771,0,0
12,United Kingdom,2022/6/13 10:26,0,,7934,0,,,,22382352,0,22027812,179217,0,0
13,Italy,2022/6/13 10:26,18768,,18036,26,,,,17653375,0,16863770,167391,0,0
14,Russia,2022/6/13 10:26,3403,,3480,65,,,,18376587,0,17794561,380020,0,0
15,Philippines,2022/6/13 10:26,308,,195,0,,,,3693222,0,3629843,60461,0,0
16,Ethiopia,2022/6/13 10:26,419,,82,0,,,,478963,0,456719,7516,0,0
17,Mexico,2022/6/13 10:26,6396,,2287,42,,,,5821262,0,5085666,325186,0,0
